1/5/	0	0	0
2/5/	0	0	0
3/5/	0	0	0
4/5/	0	0	0
5/5/	0	0	0
6/5/	0	1.3	0
7/5/	0	1.4	0
8/5/	0	1.4	0
9/5/	0	1.4	0
10/5/	0.7	2.7	0.9
11/5/	0.7	4.5	1.5
12/5/	0.7	6.3	1.5
13/5/	0.7	7.2	1.5
14/5/	0.7	11	1.5
15/5/	2.1	13.7	1.5
16/5/	6	18.2	1.5
17/5/	9.9	26.1	3.9
18/5/	13.2	29	5.8
19/5/	14.8	31.4	10.6
20/5/	15.2	36.6	13.3
21/5/	15.2	44.6	14.2
22/5/	15.2	55.7	14.2
23/5/	15.2	65.8	17.3
24/5/	17.2	74.9	18.7
25/5/	20.1	76.8	18.7
26/5/	24.2	81.3	19.3
27/5/	26.7	87.2	22.5
28/5/	30.2	95.2	28.4
29/5/	30.2	104.3	33.2
30/5/	30.2	115.3	39.4
31/5/	30.2	127.1	41.1
1/6/	30.2	141.2	43.9
2/6/	32	153.8	50
3/6/	34.9	158.7	58.9
4/6/	40.8	161.8	71.3
5/6/	48.3	168	84.9
6/6/	55	177.7	95.5
7/6/	59.1	185.7	100.1
8/6/	59.3	191.6	107.9
9/6/	60.1	196.8	113.6
10/6/	61	199.1	117.9
11/6/	65.1	199.9	124.4
12/6/	68.7	201.6	127.4
13/6/	71.9	205.6	129.2
14/6/	74.8	211.5	131
15/6/	78.4	214.9	131.4
16/6/	81.2	218.5	131.4
17/6/	86.9	222.3	131.4
18/6/	96.4	226.8	133
19/6/	105.5	233.7	133
20/6/	110.4	240.1	133
21/6/	113.2	248.5	133.7
22/6/	115.1	258.6	134.6
23/6/	118.6	265.3	137.6
24/6/	124.6	272.3	140.4
25/6/	130.9	281	142.1
26/6/	135.1	286.3	144.9
27/6/	137.8	294.5	149.3
28/6/	139.8	306.4	154.8
29/6/	141.6	319.3	160.2
30/6/	145.4	328.5	166.1
1/7/	152.4	338.7	171.3
2/7/	161.1	347.5	178.3
3/7/	167.8	354.2	187.5
4/7/	170.3	362.9	193.4
5/7/	173.8	372	204.2
6/7/	183.7	380.6	219.7
7/7/	189.1	389.5	236.3
8/7/	193.3	393.8	251.3
9/7/	196.7	398.4	264.7
10/7/	199.4	402.8	279.9
11/7/	203.8	407.1	286.6
12/7/	209.9	412.8	294.1
13/7/	218.2	418.1	303.5
14/7/	231.1	423.2	314.7
15/7/	242.3	430.9	327.6
16/7/	249.6	437	342.2
17/7/	255.8	441.7	350.2
18/7/	262.1	447.3	358.6
19/7/	267.9	452.3	366.3
20/7/	273.4	457.6	374.8
21/7/	277.5	461.7	387.5
22/7/	280.6	466.7	398.8
23/7/	284.5	473.2	408.6
24/7/	290.6	480	418.2
25/7/	297.8	486.7	429.3
26/7/	303.5	493.4	439
27/7/	307.7	501.5	449.7
28/7/	312.1	509.6	456.2
29/7/	316.5	519.4	463.2
30/7/	322.5	530.9	471
31/7/	329.4	543.1	481
1/8/	336.4	554	491.6
2/8/	344	562.2	501.2
3/8/	350.6	573	510.5
4/8/	355.1	582.5	521.2
5/8/	358.8	590.9	532.2
6/8/	362.5	600.4	542.5
7/8/	366	609	551.2
8/8/	370.2	615.1	558.7
9/8/	374.3	620	565.8
10/8/	379.3	625.3	575.1
11/8/	385.7	630.1	585
12/8/	391.7	635.4	593.7
13/8/	399	641	600.3
14/8/	406.7	646.7	606.8
15/8/	412.2	652.5	611.2
16/8/	417	661	615.2
17/8/	421.9	669.6	619.7
18/8/	427.1	678.1	625.3
19/8/	431.5	685.7	632
20/8/	435.5	693.4	637.6
21/8/	439.6	699.1	643.4
22/8/	443.1	703.1	648.7
23/8/	445.1	709	653
24/8/	446.2	716	657.8
25/8/	449.5	725.4	663.3
26/8/	454.8	733.9	667.9
27/8/	457.5	740.5	672.4
28/8/	458.9	745.7	677.7
29/8/	462.8	749.8	681.3
30/8/	472.1	753.8	686.4
31/8/	481.1	757.6	690.5
1/9/	488.3	762.6	696.5
2/9/	493.4	769.5	704.3
3/9/	501.5	775.4	711.1
4/9/	506.9	780.9	717.9
5/9/	512.8	789.5	722.4
6/9/	517.1	798.6	726.8
7/9/	519.5	803.9	731.7
8/9/	519.7	809.7	735.5
9/9/	519.7	814.5	741.4
10/9/	520.5	821.5	747.6
11/9/	522.9	826.2	754.4
12/9/	529.5	831.4	757.6
13/9/	533.8	836.3	763.4
14/9/	536.2	840.8	767.6
15/9/	540	845.4	771.8
16/9/	543.2	854	774
17/9/	546.6	862.4	776
18/9/	551.5	871.3	776.9
19/9/	554.9	880.8	776.9
20/9/	557.4	889.4	776.9
21/9/	557.8	895.8	776.9
22/9/	558.9	900.6	776.9
23/9/	559.7	903.8	776.9
24/9/	561.4	905.4	776.9
25/9/	562.9	906.7	777.4
26/9/	563.1	908.3	779.5
27/9/	564	911.2	782.7
28/9/	564	912.5	784.7
29/9/	564	913.2	786.5
30/9/	565.4	914.6	787.3
