1/5/	2.9	2.8	0.6
2/5/	0.5	3.2	0.3
3/5/	2.4	3.5	1.4
4/5/	0.5	3	1.6
5/5/	1.1	4.1	2.1
6/5/	2.9	6.3	2
7/5/	1.8	5.1	1.8
8/5/	2.8	2.5	2.9
9/5/	3.6	3.9	4.9
10/5/	5.7	6.3	5.9
11/5/	4.7	6.8	5.6
12/5/	3.1	6.8	3.1
13/5/	0.9	5.9	1.6
14/5/	2.7	8.8	1.6
15/5/	6.4	7.7	2.8
16/5/	8.9	9.5	4.7
17/5/	8.9	12.9	7.4
18/5/	8.3	7.9	6.9
19/5/	6.6	7.4	9.8
20/5/	5.4	10.2	7.7
21/5/	4.3	13	5.9
22/5/	3.8	16.1	4.6
23/5/	4.9	15.1	8.1
24/5/	7	14.1	6.4
25/5/	7.9	6.9	4.8
26/5/	9.1	9.5	5.6
27/5/	7.5	10.9	8.2
28/5/	8.5	13	10.9
29/5/	2.5	14.1	9.8
30/5/	2.1	16	11.2
31/5/	2.1	16.8	6.7
1/6/	3.9	19.1	7.8
2/6/	6.8	17.6	11.1
3/6/	7.9	9.9	13.9
4/6/	10.9	8.1	17.4
5/6/	12.5	11.2	18.6
6/6/	11.7	14.7	15.6
7/6/	9.1	13	9.6
8/6/	5.2	10.9	12.8
9/6/	5.8	10.2	10.7
10/6/	5.9	7.3	9.3
11/6/	9.1	5.8	11.5
12/6/	8.6	6.7	8
13/6/	8.2	9	6.8
14/6/	7.9	10.9	6.8
15/6/	8.6	8.4	5.4
16/6/	7.8	8.6	3.8
17/6/	10.7	8.8	4.8
18/6/	14.5	9.5	6.6
19/6/	14.1	11.9	4.8
20/6/	9.9	11.4	5
21/6/	7.8	13.4	5.7
22/6/	6.9	15.1	5.9
23/6/	8.5	11.7	8
24/6/	11	12	7.8
25/6/	11.3	13.7	6.7
26/6/	9.2	10.3	7.8
27/6/	7.7	13.2	9.4
28/6/	7	16.9	10.5
29/6/	6.8	17.9	10.4
30/6/	8.8	14.2	10.9
1/7/	12	15.2	10.2
2/7/	13.7	13.8	12
3/7/	11.7	11.7	14.2
4/7/	7.5	13.7	10.9
5/7/	8.5	14.1	15.8
6/7/	14.9	13.6	20.5
7/7/	10.4	13.9	21.6
8/7/	9.2	9.3	20
9/7/	8.4	9.6	18.4
10/7/	7.7	9.4	20.2
11/7/	9.4	9.3	11.7
12/7/	11.1	10.7	12.5
13/7/	13.3	10.3	14.4
14/7/	17.9	10.1	16.2
15/7/	16.2	12.7	17.9
16/7/	12.3	11.1	19.6
17/7/	11.2	9.7	13
18/7/	11.3	10.6	13.4
19/7/	10.8	10	12.7
20/7/	10.5	10.3	13.5
21/7/	9.1	9.1	17.7
22/7/	8.1	10	16.3
23/7/	8.9	11.5	14.8
24/7/	11.1	11.8	14.6
25/7/	12.2	11.7	16.1
26/7/	10.7	11.7	14.7
27/7/	9.2	13.1	15.7
28/7/	9.4	13.1	11.5
29/7/	9.4	14.8	12
30/7/	11	16.5	12.8
31/7/	11.9	17.2	15
1/8/	12	15.9	15.6
2/8/	12.6	13.2	14.6
3/8/	11.6	15.8	14.3
4/8/	9.5	14.5	15.7
5/8/	8.7	13.4	16
6/8/	8.7	14.5	15.3
7/8/	8.5	13.6	13.7
8/8/	9.2	11.1	12.5
9/8/	9.1	9.9	12.1
10/8/	10	10.3	14.3
11/8/	11.4	9.8	14.9
12/8/	11	10.3	13.7
13/8/	12.3	10.6	11.6
14/8/	12.7	10.7	11.5
15/8/	10.5	10.8	9.4
16/8/	9.8	13.5	9
17/8/	9.9	13.6	9.5
18/8/	10.2	13.5	10.6
19/8/	9.4	12.6	11.7
20/8/	9	12.7	10.6
21/8/	9.1	10.7	10.8
22/8/	8.5	9	10.3
23/8/	7	10.9	9.3
24/8/	6.1	12	9.8
25/8/	8.3	14.4	10.5
26/8/	10.3	13.5	9.6
27/8/	7.7	11.6	9.5
28/8/	6.4	10.2	10.3
29/8/	8.9	9.1	8.6
30/8/	14.3	9	10.1
31/8/	14	8.8	9.1
1/9/	12.2	10	11
2/9/	10.1	11.9	12.8
3/9/	13.1	10.9	11.8
4/9/	10.4	10.5	11.8
5/9/	10.9	13.6	9.5
6/9/	9.3	14.1	9.4
7/9/	7.4	10.3	9.9
8/9/	5.2	10.8	8.8
9/9/	4.8	9.8	10.9
10/9/	5.8	12	11.2
11/9/	7.4	9.7	11.8
12/9/	11.6	10.2	8.2
13/9/	9.3	9.9	10.8
14/9/	7.4	9.5	9.2
15/9/	8.8	9.6	9.2
16/9/	8.2	13.6	7.2
17/9/	8.4	13.4	7
18/9/	9.9	13.9	5.9
19/9/	8.4	14.5	4.5
20/9/	7.5	13.6	4.9
21/9/	5.4	11.4	3.2
22/9/	6.1	9.8	2.2
23/9/	5.8	8.2	2.6
24/9/	6.7	6.6	3.2
25/9/	6.5	6.3	5.5
26/9/	5.2	6.6	7.1
27/9/	5.9	7.9	8.2
28/9/	4.5	6.3	7
29/9/	5	5.7	6.8
30/9/	6.4	6.4	5.8
